Ville,Code Postal,Département,Latitude,Longitude,Distance_vélo,Temps_vélo,Temps_velo (minutes),Temps_transports,Temps_transports (minutes),Distance_transport,Ratio temps_en_transport/distance,Temps_voiture,Temps_voiture (minutes),Distance_auto,Temps_voiture_heure_de_pointe,Temps_voiture_heure_de_pointe (minutes),Distance heure de pointe,Ratio temps_en_voiture/distance,Difference tps de parcours Voiture/Transport,Difference tps de parcours heure de pointe Voiture/Transport
Abbéville-la-Rivière,91150,Essonne,48.3469518,2.1673795,68.6,3 hours 53 mins,233,nan,,65.4,,52 mins,52,65.4,2 hours 7 mins,127,65.4,0.7951070336391437,,
Angerville,91670,Essonne,48.3115817,2.0031549,78.7,4 hours 25 mins,265,1 hour 10 mins,70,73.6,0.9510869565217392,56 mins,56,73.6,2 hours 8 mins,128,73.6,0.7608695652173914,14.0,-58.0
Angervilliers,91470,Essonne,48.5937335,2.0639333,44.9,2 hours 37 mins,157,nan,,59.1,,44 mins,44,59.1,1 hour 48 mins,108,59.1,0.7445008460236886,,
Arpajon,91290,Essonne,48.589163,2.2460928,34.7,2 hours 6 mins,126,53 mins,53,35.7,1.4845938375350138,33 mins,33,35.7,1 hour 47 mins,107,35.7,0.9243697478991596,20.0,-54.0
Arrancourt,91690,Essonne,48.34191680000001,2.161726,69.3,3 hours 56 mins,236,nan,,66.2,,54 mins,54,66.2,2 hours 8 mins,128,66.2,0.8157099697885196,,
Athis-Mons,91200,Essonne,48.7100622,2.3929294,21.1,1 hour 8 mins,68,47 mins,47,22.1,2.1266968325791855,24 mins,24,22.1,1 hour 12 mins,72,22.1,1.085972850678733,23.0,-25.0
Authon-la-Plaine,91410,Essonne,48.45132479999999,1.9571921,65.8,3 hours 41 mins,221,nan,,72.3,,48 mins,48,72.3,1 hour 54 mins,114,72.3,0.6639004149377593,,
Auvernaux,91830,Essonne,48.5280135,2.4928885,44.4,2 hours 24 mins,144,nan,,46.4,,34 mins,34,46.4,2 hours 3 mins,123,46.4,0.7327586206896552,,
Auvers-Saint-Georges,91580,Essonne,48.4927787,2.2173731,51.1,2 hours 57 mins,177,nan,,50.2,,41 mins,41,50.2,1 hour 57 mins,117,50.2,0.8167330677290836,,
Avrainville,91630,Essonne,48.5621404,2.246518,39.5,2 hours 21 mins,141,nan,,40.8,,35 mins,35,40.8,1 hour 50 mins,110,40.8,0.857843137254902,,
Ballainvilliers,91160,Essonne,48.6752107,2.2957398,24.6,1 hour 27 mins,87,1 hour 20 mins,80,26.3,3.041825095057034,25 mins,25,26.3,1 hour 18 mins,78,26.3,0.9505703422053232,55.0,2.0
Ballancourt-sur-Essonne,91610,Essonne,48.51876739999999,2.3892449,49.8,2 hours 41 mins,161,nan,,54.7,,42 mins,42,54.7,2 hours 12 mins,132,54.7,0.7678244972577696,,
Baulne,91590,Essonne,48.4925007,2.3595652,53.2,2 hours 51 mins,171,1 hour 18 mins,78,58.7,1.3287904599659284,45 mins,45,58.7,2 hours 15 mins,135,58.7,0.766609880749574,33.0,-57.0
Bièvres,91570,Essonne,48.753387,2.2074004,18.6,1 hour 13 mins,73,1 hour 0 mins,60,22.6,2.654867256637168,25 mins,25,22.6,1 hour 24 mins,84,22.6,1.1061946902654867,35.0,-24.0
Boigneville,91720,Essonne,48.3350194,2.3716702,70.8,3 hours 49 mins,229,1 hour 31 mins,91,75.3,1.2084993359893759,56 mins,56,75.3,2 hours 19 mins,139,75.3,0.7436918990703851,35.0,-48.0
Bois-Herpin,91150,Essonne,48.36972859999999,2.2348514,70.7,3 hours 46 mins,226,nan,,63.8,,51 mins,51,63.8,2 hours 6 mins,126,63.8,0.7993730407523512,,
Boissy-la-Rivière,91690,Essonne,48.3751226,2.1554741,65.4,3 hours 44 mins,224,nan,,62.3,,50 mins,50,62.3,2 hours 2 mins,122,62.3,0.8025682182985554,,
Boissy-le-Cutté,91590,Essonne,48.4693864,2.2820758,51.2,2 hours 59 mins,179,nan,,55.8,,46 mins,46,55.8,2 hours 0 mins,120,55.8,0.8243727598566308,,
Boissy-le-Sec,91870,Essonne,48.4899044,2.0819194,54.3,3 hours 7 mins,187,nan,,66.5,,55 mins,55,66.5,2 hours 1 min,121,66.5,0.8270676691729323,,
