Nanterre(préfecture),17 mins
Antony,24 mins
Asnières-sur-Seine,20 mins
Bagneux,15 mins
Bois-Colombes,22 mins
Boulogne-Billancourt,16 mins
Bourg-la-Reine,17 mins
Châtenay-Malabry,26 mins
Châtillon,16 mins
Chaville,20 mins
Clamart,22 mins
Clichy,17 mins
Colombes,22 mins
Courbevoie,19 mins
Fontenay-aux-Roses,21 mins
Garches,23 mins
Gennevilliers,22 mins
Issy-les-Moulineaux,15 mins
La Garenne-Colombes,18 mins
Le Plessis-Robinson,23 mins
Levallois-Perret,15 mins
Malakoff,15 mins
Marnes-la-Coquette,18 mins
Meudon,19 mins
Montrouge,12 mins
Neuilly-sur-Seine,14 mins
Puteaux,15 mins
Rueil-Malmaison,26 mins
Saint-Cloud,22 mins
Sceaux,20 mins
Sèvres,19 mins
Suresnes,20 mins
Vanves,14 mins
Vaucresson,25 mins
Ville-d'Avray,22 mins
Villeneuve-la-Garenne,23 mins
